KANTONSNUM;NAME;EINWOHNERZ;KANTONSFLA;SEE_FLAECH
1;Zürich;1504346;172894;6811
2;Bern;1031126;595952;11897
3;Luzern;406506;149352;6438
4;Uri;36299;107654;1922
5;Schwyz;157301;90788;5654
6;Obwalden;37575;49058;996
7;Nidwalden;42969;27585;3450
8;Glarus;40349;68531;461
9;Zug;125421;23873;3158
10;Fribourg;315074;167142;7818
11;Solothurn;271432;79045;
12;Basel-Stadt;193908;3695;
13;Basel-Landschaft;287023;51767;
14;Schaffhausen;81351;29842;27
15;Appenzell Ausserrhoden;55178;24284;
16;Appenzell Innerrhoden;16105;17248;
17;St. Gallen;504686;202820;7720
18;Graubünden;197888;710530;
19;Aargau;670988;140380;870
20;Thurgau;273801;99433;13121
21;Ticino;353709;281216;7147
22;Vaud;793129;321201;39097
23;Valais;341463;522463;1060
24;Neuchâtel;177964;80216;8542
25;Genève;495249;28249;3669
26;Jura;73290;83851;
